id,title,release_date,vote_average,popularity
1399,Game of Thrones,2011-04-17,8.459,105.6105
206584,The Game of Thrones Reunion Hosted by Conan O'Brien,2021-04-05,8.4,0.646
94997,House of the Dragon,2022-08-21,8.308,32.4275
224372,A Knight of the Seven Kingdoms,2026-01-18,0.0,5.417
1412,Arrow,2012-10-10,6.828,47.2072
280224,Arrow,2009-04-26,0.0,0.1935
96942,BACK ARROW,2021-01-09,6.8,3.9403
67020,Strike Witches: Operation Victory Arrow,2014-09-20,5.0,0.5646
44465,Arrow Emblem: Grand Prix no taka,1977-09-22,8.0,2.3147
57202,Arrows on the Bowstring,2012-09-13,7.0,2.5882
13870,Broken Arrow,1956-09-25,5.0,3.6961
84289,Rogue Arrows,2018-05-17,8.0,1.1876
37152,Cupid's Arrows,2000-01-14,0.0,0.967
80883,The Black Arrow,1968-12-22,8.0,0.5383
5723,The Black Arrow,2006-10-12,5.8,0.1754
108784,The Sacred Arrow Of Spirit Mountain,1987-08-08,0.0,1.0388
10851,Slings & Arrows,2003-11-03,7.05,1.6664
72325,The Black Arrow,1972-04-12,6.0,1.3132
9345,The Arrow,1997-01-12,7.5,1.3738
293001,Green Arrow,2014-04-16,0.0,0.5423
72895,Arrow: Blood Rush,2013-11-06,7.941,0.7796
210828,Arrowsmith,1997-01-01,0.0,0.438
97538,Red Arrows Take America,2020-01-08,0.0,0.1297
66654,The Red Arrows,2006-08-28,8.5,0.1974
478,Captain Planet and the Planeteers,1990-09-15,6.788,6.8517
25707,Captain Tsubasa,1983-10-13,7.8,13.6068
77240,Captain Tsubasa,2018-04-03,8.2,11.2204
203299,A Captain's Log,2021-06-30,7.5,2.2222
24106,Captain Tsubasa: Road to 2002,2001-10-07,7.7,5.7105
31714,Space Pirate Captain Harlock,1978-03-14,7.2,5.2992
34189,The Irresponsible Captain Tylor,1993-01-25,7.7,5.8343
23004,Captain Future,1978-11-07,8.1,5.6455
60806,Captain Earth,2014-04-06,6.5,3.167
65835,Captain Tsubasa J,1994-10-21,7.8,2.847
61807,Captain Sharif,2013-10-25,7.4,2.2439
29816,Desert Pirate! Captain Kuppa,2001-08-13,8.0,1.6811
128948,The Irresponsible Captain Tylor  OVA,1994-10-01,8.0,2.0571
125138,Captain,1983-01-10,8.0,1.7151
280821,"Do You Love Me, Captain?",2022-04-13,0.0,0.1623
82531,Captain of Destiny,2015-09-21,8.0,2.6424
100395,Police Captain,2015-05-25,6.0,1.6464
274176,The Captain,2025-02-28,1.0,1.292
63102,Shin Captain Tsubasa,1989-07-01,7.441,2.1863
239197,MY BOYFRIEND IS A CAPTAIN,,0.0,0.0071
126308,Shōgun,2024-02-27,8.453,15.154
13862,Shōgun,1980-09-15,7.618,5.1788
15680,Abarenbo Shogun,1978-01-07,8.1,22.1967
60826,Dai Shogun - Great Revolution,2014-04-10,6.2,2.5276
125215,The 13 Lords of the Shogun,2022-01-09,8.5,3.6104
75535,Masamune Shogun,1987-01-04,9.2,4.1047
20096,Shogun Iemitsu Secret Journey,1990-10-13,0.0,2.3132
112429,Eighth Shogun Yoshimune,1995-01-08,0.0,1.5906
207329,Crisis at Edo Castle - Angry Shogun Tokugawa Iemitsu,1987-01-02,0.0,0.7883
203440,Sanada Yukimura: The Man Shogun Ieyasu Feared Most,1998-01-02,0.0,1.1905
19470,Shōgun no Onmitsu! Kage Jūhachi,,0.0,0.0071
37807,Beyblade: Metal Saga,2009-04-05,7.4,11.6919
112249,The Yagyu Conspiracy,1978-10-03,7.0,1.3407
71134,Manga Mito Kômon,1981-09-03,5.4,1.838
19567,Bloody Journal of the Shinsengumi,1998-10-08,0.0,1.4829
126122,Ooku,1968-04-06,0.0,0.8698
201223,The Secret 18th Group,1996-01-27,0.0,0.9215
